SQL structure,Amount of samples,Share of the total
SELECT <ent> FROM <ent> WHERE <ent>,1328,13.70%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,869,8.97%
SELECT <ent> FROM <ent>,809,8.35%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>,493,5.09%
"SELECT <ent> , <ent> FROM <ent> GROUP BY <ent>",332,3.43%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> WHERE <ent>",249,2.57%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent>,237,2.45%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent>",235,2.42%
SELECT <ent> FROM <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,221,2.28%
"SELECT <ent> , <ent> FROM <ent>",216,2.23%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent>,199,2.05%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent>,190,1.96%
SELECT <ent> FROM <ent> GROUP BY <ent> HAVING <ent>,162,1.67%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent>",156,1.61%
SELECT <ent> FROM <ent> ORDER BY <ent> DESC LIMIT <ent>,148,1.53%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>,147,1.52%
SELECT <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>,104,1.07%
SELECT <ent> FROM <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> WHERE <ent>,96,0.99%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>",95,0.98%
SELECT <ent> FROM <ent> ORDER BY <ent>,91,0.94%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent>",89,0.92%
SELECT <ent> FROM <ent> WHERE <ent> SELECT <ent> FROM <ent> WHERE <ent>,86,0.89%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>",84,0.87%
SELECT <ent> FROM <ent> ORDER BY <ent> ASC,82,0.85%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> HAVING <ent>",78,0.80%
SELECT <ent> FROM <ent> ORDER BY <ent> DESC,71,0.73%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent>,67,0.69%
"SELECT <ent> , <ent> , <ent> FROM <ent>",66,0.68%
SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> WHERE <ent>,63,0.65%
SELECT <ent> FROM <ent> WHERE <ent> IN <ent> SELECT <ent> FROM <ent> WHERE <ent>,62,0.64%
"SELECT <ent> , <ent> FROM <ent> WHERE <ent> GROUP BY <ent>",56,0.58%
"SELECT <ent> , <ent> FROM <ent> ORDER BY <ent> DESC LIMIT <ent>",55,0.57%
"SELECT <ent> , <ent> FROM <ent> JOIN <ent> JOIN <ent> JOIN <ent> WHERE <ent> GROUP BY <ent> ORDER BY <ent> DESC <ent>",51,0.53%
"SELECT <ent> , <ent> , <ent> FROM <ent> WHERE <ent>",45,0.46%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent> ORDER BY <ent> DESC LIMIT <ent>",44,0.45%
SELECT <ent> FROM <ent> JOIN <ent>,43,0.44%
"SELECT <ent> , <ent> , <ent> FROM <ent> JOIN <ent> GROUP BY <ent>",41,0.42%
"SELECT <ent> , <ent> , <ent> FROM <ent> GROUP BY <ent>",40,0.41%
SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent> INTERSECT SELECT <ent> FROM <ent> JOIN <ent> JOIN <ent> WHERE <ent>,38,0.39%
